date;price;open;high;low;vol
01/22/2024;19389;19230;19533;19226;60.13M
01/23/2024;19518;19502;19575;19383;42.36M
01/24/2024;19450;19542;19638;19434;53.63M
01/25/2024;19417;19522;19627;19311;54.82M
01/26/2024;19242;19427;19476;19194;44.59M
01/29/2024;19173;19201;19220;18958;47.15M
01/30/2024;18804;19094;19180;18747;55.86M
01/31/2024;18440;18704;18710;18435;55.47M
02/01/2024;18686;18399;18695;18382;64.89M
02/02/2024;18585;17986;18733;17925;102.55M
02/05/2024;18768;18815;18925;18584;69.67M
02/06/2024;18930;18686;18931;18677;43.49M
02/07/2024;18941;19064;19105;18861;53.44M
02/08/2024;18832;18938;18954;18735;40.96M
02/09/2024;18885;18865;18999;18800;45.16M
02/12/2024;18715;18841;18867;18679;41.78M
02/13/2024;18504;18577;18621;18351;56.53M
02/14/2024;18415;18532;18553;18244;54.63M
02/15/2024;18386;18355;18449;18135;65.43M
02/16/2024;18231;18342;18485;18166;49.75M
02/20/2024;18156;18179;18243;18000;53.67M
02/21/2024;18232;18194;18289;18066;41.53M
02/22/2024;18437;18348;18496;18246;52.29M
02/23/2024;18252;18501;18504;18223;45.12M
02/26/2024;18116;18224;18276;18065;40.87M
02/27/2024;18263;18110;18392;17956;54.32M
02/28/2024;18142;18251;18312;18013;48.95M
02/29/2024;18075;18127;18257;17953;136.68M
03/01/2024;17966;17955;18053;17738;73.56M
03/04/2024;17510;17615;17690;17379;81.51M
03/05/2024;17012;17076;17204;16962;95.13M
03/06/2024;16912;17106;17124;16868;68.59M
03/07/2024;16900;16915;17073;16849;71.77M
03/08/2024;17073;16900;17370;16894;76.27M
03/11/2024;17275;17294;17438;17205;60.14M
03/12/2024;17323;17315;17403;17101;59.83M
03/13/2024;17113;17277;17318;17076;52.49M
03/14/2024;17300;17291;17431;17205;72.91M
03/15/2024;17262;17117;17262;17029;121.75M
03/18/2024;17372;17557;17771;17352;75.60M
03/19/2024;17608;17434;17660;17303;55.22M
03/20/2024;17867;17572;17867;17509;53.42M
03/21/2024;17137;17705;17749;17084;106.18M
03/22/2024;17228;17176;17305;17006;71.16M
03/25/2024;17085;17057;17194;16945;54.29M
03/26/2024;16971;17000;17142;16958;57.39M
03/27/2024;17331;17041;17360;17011;60.27M
03/28/2024;17148;17175;17223;17051;65.67M
04/01/2024;17003;17119;17125;16948;46.24M
04/02/2024;16884;16908;16934;16823;49.33M
04/03/2024;16965;16879;17068;16858;47.69M
04/04/2024;16882;17029;17192;16882;53.70M
04/05/2024;16958;16959;17039;16895;42.10M
04/08/2024;16845;16903;16920;16824;37.43M
04/09/2024;16967;16870;17008;16835;42.45M
04/10/2024;16778;16880;16909;16711;49.71M
04/11/2024;17504;16834;17546;16816;91.07M
04/12/2024;17655;17426;17836;17421;101.67M
04/15/2024;17269;17536;17663;17250;73.53M
04/16/2024;16938;17175;17376;16827;73.71M
04/17/2024;16800;16961;17065;16800;50.90M
04/18/2024;16704;16803;16864;16655;43.12M
04/19/2024;16500;16621;16640;16407;68.15M
04/22/2024;16584;16551;16726;16477;48.12M
04/23/2024;16690;16535;16705;16492;49.54M
04/24/2024;16902;16654;16930;16621;48.25M
04/25/2024;16989;16952;17061;16815;50.56M
04/26/2024;16930;16988;17134;16918;44.84M
04/29/2024;17350;17337;17603;17310;68.17M
04/30/2024;17033;17333;17499;17000;65.93M
05/01/2024;16930;16958;17271;16911;50.38M
05/02/2024;17303;17251;17341;17089;94.21M
05/03/2024;18338;18665;18700;18266;163.22M
05/06/2024;18171;18235;18420;18042;78.57M
05/07/2024;18240;18345;18490;18132;77.31M
05/08/2024;18274;18285;18307;18145;45.06M
05/09/2024;18457;18256;18466;18211;48.98M
05/10/2024;18305;18490;18509;18213;50.76M
05/13/2024;18628;18543;18710;18462;72.04M
05/14/2024;18743;18751;18830;18629;52.39M
05/15/2024;18972;18791;19065;18737;70.40M
05/16/2024;18984;19047;19110;18966;52.85M
05/17/2024;18987;18951;19081;18918;41.28M
05/20/2024;19104;18932;19192;18901;44.36M
05/21/2024;19235;19109;19273;19092;42.31M
05/22/2024;19090;19226;19282;19027;34.65M
05/23/2024;18688;19098;19100;18663;51.01M
05/24/2024;18998;18882;19058;18804;36.33M
05/28/2024;18999;19151;19300;18910;52.28M
05/29/2024;19029;18961;19225;18951;53.07M
05/30/2024;19129;19076;19218;19063;49.95M
05/31/2024;19225;19144;19257;18991;75.16M
06/03/2024;19403;19290;19499;19252;50.08M
06/04/2024;19435;19463;19532;19303;47.47M
