date;price;open;high;low;vol
12/31/2024;18930;19107;19196;18851;17.47M
12/30/2024;19124;18980;19255;18912;14.26M
12/27/2024;19276;19495;19532;19065;18.89M
12/26/2024;19560;19515;19675;19438;12.06M
12/24/2024;19611;19484;19611;19378;10.40M
12/23/2024;19463;19262;19510;19015;25.68M
12/20/2024;19141;18578;19289;18522;63.46M
12/19/2024;18851;19163;19303;18838;32.27M
12/18/2024;18840;19522;19700;18774;34.17M
12/17/2024;19542;19725;20142;19498;43.50M
12/16/2024;19666;19287;19900;19262;44.93M
12/13/2024;18982;19101;19273;18964;25.14M
12/12/2024;19196;19500;19518;19171;34.82M
12/11/2024;19540;18531;19561;18485;67.89M
12/10/2024;18517;18285;18636;18105;54.81M
12/09/2024;17537;17396;17626;17365;25.39M
12/06/2024;17471;17203;17508;17186;21.46M
12/05/2024;17264;17536;17606;17233;21.36M
12/04/2024;17437;17115;17491;17106;31.62M
12/03/2024;17134;17149;17268;17085;22.25M
12/02/2024;17149;16876;17207;16857;23.79M
11/29/2024;16895;16850;16943;16716;14.26M
11/27/2024;16923;16900;16948;16802;19.27M
11/26/2024;16912;16763;16982;16758;20.49M
11/25/2024;16765;16609;16863;16561;33.14M
11/22/2024;16476;16585;16646;16390;38.60M
11/21/2024;16763;17390;17413;16370;59.73M
11/20/2024;17598;17734;17768;17378;19.00M
11/19/2024;17812;17372;17887;17356;23.43M
11/18/2024;17530;17342;17544;17290;20.21M
11/15/2024;17249;17373;17414;17122;32.50M
11/14/2024;17558;17828;17882;17432;31.01M
11/13/2024;17888;18046;18096;17854;23.18M
11/12/2024;18162;17982;18249;17939;25.13M
11/11/2024;18035;17858;18054;17847;17.45M
11/08/2024;17835;18065;18090;17808;22.01M
11/07/2024;18075;17741;18108;17719;25.35M
11/06/2024;17651;17380;17694;17350;33.70M
11/05/2024;16974;16943;17053;16884;18.24M
11/04/2024;16924;16993;17073;16801;21.49M
11/01/2024;17129;17007;17232;16888;31.80M
10/31/2024;17111;17313;17682;17100;44.77M
10/30/2024;17446;18068;18202;17406;68.89M
10/29/2024;16968;16773;17038;16709;42.17M
10/28/2024;16672;16875;16875;16395;32.14M
10/25/2024;16527;16367;16559;16342;19.83M
10/24/2024;16272;16283;16333;16101;22.41M
10/23/2024;16278;16476;16582;16193;18.28M
10/22/2024;16514;16298;16577;16298;16.57M
10/21/2024;16407;16295;16450;16262;20.95M
10/18/2024;16342;16319;16471;16308;19.76M
10/17/2024;16293;16573;16637;16276;21.45M
10/16/2024;16516;16453;16580;16374;16.41M
10/15/2024;16546;16579;16768;16463;20.25M
10/14/2024;16496;16364;16623;16340;19.02M
10/11/2024;16324;16213;16390;16124;15.34M
10/10/2024;16208;16087;16307;16040;14.14M
10/09/2024;16186;16345;16484;15974;31.18M
10/08/2024;16438;16394;16473;16287;23.07M
10/07/2024;16298;16772;16848;16275;22.46M
10/04/2024;16706;16806;16823;16548;19.09M
10/03/2024;16586;16441;16664;16392;15.07M
10/02/2024;16586;16642;16752;16473;17.76M
10/01/2024;16699;16768;16916;16458;28.34M
09/30/2024;16585;16332;16615;16326;20.48M
09/27/2024;16395;16281;16570;16263;21.10M
09/26/2024;16273;16364;16408;16228;20.32M
09/25/2024;16149;16147;16281;16130;18.87M
09/24/2024;16229;16303;16322;16069;23.33M
09/23/2024;16185;16435;16549;16167;24.15M
09/20/2024;16359;16350;16373;16206;40.90M
09/19/2024;16214;16371;16379;16134;26.59M
09/18/2024;15981;15986;16050;15860;23.68M
09/17/2024;15932;15902;16055;15838;20.72M
09/16/2024;15806;15731;15825;15660;18.38M
09/13/2024;15746;15543;15838;15521;29.59M
09/12/2024;15469;15380;15482;15265;29.70M
09/11/2024;15116;14992;15150;14752;29.61M
09/10/2024;14866;15045;15127;14834;31.12M
09/09/2024;14871;15251;15340;14721;39.26M
09/06/2024;15092;15730;15783;15055;37.91M
09/05/2024;15724;15630;15945;15598;18.69M
09/04/2024;15645;15665;15900;15596;19.35M
09/03/2024;15736;16172;16185;15648;38.95M
08/30/2024;16338;16262;16366;16169;22.12M
08/29/2024;16178;16431;16597;16025;19.70M
08/28/2024;16285;16504;16560;16153;16.41M
08/27/2024;16468;16584;16644;16446;11.82M
08/26/2024;16616;16638;16755;16446;14.19M
08/23/2024;16562;16472;16618;16383;13.96M
08/22/2024;16380;16726;16759;16331;22.49M
08/21/2024;16585;16515;16685;16467;22.90M
08/20/2024;16718;16690;16864;16682;18.34M
08/19/2024;16667;16528;16669;16426;22.42M
08/16/2024;16296;16147;16506;16113;24.21M
08/15/2024;16130;16050;16163;15961;31.52M
08/14/2024;16037;16240;16322;15771;40.59M
08/13/2024;16416;16341;16473;16297;18.55M
08/12/2024;16229;16435;16490;16184;15.90M
08/09/2024;16367;16001;16379;15906;28.60M
08/08/2024;16203;16051;16369;16021;25.58M
08/07/2024;15894;16125;16298;15847;25.14M
08/06/2024;15829;15933;16057;15641;49.00M
08/05/2024;15925;15550;16443;15493;53.63M
08/02/2024;16666;16644;16851;16467;29.13M
08/01/2024;17076;17025;17405;16888;24.53M
07/31/2024;17154;17324;17424;17001;25.73M
07/30/2024;17029;17024;17123;16844;18.96M
07/29/2024;16953;16883;17043;16799;20.29M
07/26/2024;16700;16715;16809;16406;41.34M
07/25/2024;16728;17252;17342;16719;44.85M
07/24/2024;17263;17360;17619;17182;49.59M
07/23/2024;18179;18205;18361;18154;36.35M
07/22/2024;18167;18059;18270;18023;24.10M
07/19/2024;17766;17888;18029;17713;18.88M
07/18/2024;17769;18193;18250;17647;25.32M
07/17/2024;18102;18296;18355;17990;20.73M
07/16/2024;18392;18736;18868;18337;18.29M
07/15/2024;18653;18492;18824;18492;16.47M
07/12/2024;18507;18508;18711;18449;22.90M
07/11/2024;18557;18985;19086;18508;25.63M
07/10/2024;19118;18915;19175;18903;15.95M
07/09/2024;18898;19031;19136;18872;15.14M
07/08/2024;18903;18990;19017;18778;21.04M
07/05/2024;19060;18585;19086;18580;20.97M
07/03/2024;18582;18485;18609;18400;10.24M
07/02/2024;18524;18205;18557;18156;17.37M
07/01/2024;18299;18303;18388;18130;16.01M
06/28/2024;18215;18432;18513;18196;29.16M
06/27/2024;18541;18418;18605;18402;18.85M
06/26/2024;18388;18263;18451;18248;19.84M
06/25/2024;18403;17962;18429;17942;23.24M
06/24/2024;17922;18016;18089;17867;18.30M
06/21/2024;17963;17700;18085;17661;58.58M
06/20/2024;17630;17537;17729;17499;20.16M
06/18/2024;17509;17714;17738;17410;21.87M
06/17/2024;17724;17546;17836;17481;19.62M
06/14/2024;17679;17422;17706;17415;18.06M
06/13/2024;17516;17611;17674;17488;20.91M
06/12/2024;17779;17825;18041;17611;27.86M
06/11/2024;17662;17622;17684;17377;21.54M
06/10/2024;17501;17497;17706;17276;23.78M
06/07/2024;17446;17705;17787;17430;19.66M
06/06/2024;17673;17590;17715;17575;23.25M
06/05/2024;17541;17520;17665;17393;22.07M
06/04/2024;17379;17328;17385;17189;26.88M
06/03/2024;17317;17254;17452;17116;27.46M
05/31/2024;17250;17186;17306;16944;37.64M
05/30/2024;17211;17520;17522;17179;22.96M
05/29/2024;17590;17543;17684;17472;23.39M
05/28/2024;17640;17445;17727;17437;20.57M
05/24/2024;17499;17498;17577;17365;16.58M
05/23/2024;17355;17707;17825;17295;21.02M
05/22/2024;17638;17664;17715;17521;17.88M
05/21/2024;17785;17690;17815;17581;16.99M
05/20/2024;17692;17619;17877;17608;22.55M
05/17/2024;17606;17418;17626;17369;24.48M
05/16/2024;17418;17329;17512;17269;27.87M
05/15/2024;17251;17063;17265;17051;26.95M
05/14/2024;17034;16977;17125;16880;25.13M
05/13/2024;16914;16426;16928;16400;31.33M
05/10/2024;16865;16802;16985;16619;29.80M
05/09/2024;16996;16939;17069;16818;15.35M
05/08/2024;16938;16900;17015;16874;19.57M
05/07/2024;17125;16850;17176;16839;28.04M
05/06/2024;16810;16746;16814;16603;21.87M
05/03/2024;16724;16756;16796;16305;34.66M
05/02/2024;16662;16479;16673;16389;24.29M
05/01/2024;16386;16430;16712;16309;33.49M
04/30/2024;16278;16561;16810;16260;33.56M
04/29/2024;16615;16906;16955;16521;45.61M
04/26/2024;17195;17437;17471;16965;64.67M
04/25/2024;15600;15133;15649;15087;57.11M
04/24/2024;15913;15749;15957;15716;22.78M
04/23/2024;15826;15696;15897;15628;21.15M
04/22/2024;15628;15431;15764;15406;26.45M
04/19/2024;15409;15620;15636;15230;32.62M
04/18/2024;15601;15534;15694;15462;19.88M
04/17/2024;15547;15562;15708;15458;21.76M
04/16/2024;15440;15419;15565;15343;20.78M
04/15/2024;15486;15886;15924;15459;27.14M
04/12/2024;15773;15796;16022;15714;25.35M
04/11/2024;15941;15691;15968;15646;27.17M
04/10/2024;15614;15621;15661;15468;22.84M
04/09/2024;15660;15609;15856;15519;31.11M
04/08/2024;15485;15278;15527;15261;20.70M
04/05/2024;15250;15003;15342;14960;23.46M
04/04/2024;15053;15350;15477;15045;34.72M
04/03/2024;15492;15360;15508;15273;24.70M
04/02/2024;15456;15350;15470;15215;24.59M
04/01/2024;15549;15069;15574;15061;31.73M
03/28/2024;15093;15085;15143;15017;24.49M
03/27/2024;15087;15118;15163;14890;22.88M
03/26/2024;15067;15022;15226;14998;22.15M
03/25/2024;15007;14994;15038;14782;19.23M
03/22/2024;15077;14912;15158;14898;29.21M
03/21/2024;14760;14947;15037;14690;24.76M
03/20/2024;14874;14800;14886;14674;21.31M
03/19/2024;14703;14816;14879;14608;24.07M
03/18/2024;14768;14861;15215;14717;69.27M
03/15/2024;14118;14250;14318;14003;49.48M
03/14/2024;14310;14119;14359;14046;42.75M
03/13/2024;13979;13900;14109;13899;23.35M
03/12/2024;13850;13703;13938;13703;27.56M
03/11/2024;13767;13613;13910;13613;32.44M
03/08/2024;13541;13421;13809;13400;39.37M
03/07/2024;13438;13279;13494;13161;37.74M
03/06/2024;13140;13312;13358;13085;35.32M
03/05/2024;13267;13188;13324;13066;40.19M
03/04/2024;13335;13566;13566;13191;56.00M
03/01/2024;13714;13843;13887;13692;31.15M
02/29/2024;13846;13728;13886;13640;42.13M
02/28/2024;13638;13790;13801;13541;37.33M
02/27/2024;13888;13802;13925;13709;33.10M
02/26/2024;13757;14214;14244;13739;53.64M
02/23/2024;14396;14367;14468;14343;19.49M
02/22/2024;14409;14493;14500;14280;27.19M
02/21/2024;14255;14145;14269;14068;23.32M
02/20/2024;14112;13965;14208;13949;24.94M
02/16/2024;14052;14299;14319;14014;31.47M
02/15/2024;14277;14314;14352;14046;37.59M
02/14/2024;14594;14608;14652;14409;22.70M
02/13/2024;14514;14492;14667;14369;27.84M
02/12/2024;14753;14842;14934;14737;21.56M
02/09/2024;14900;14668;14944;14618;26.83M
02/08/2024;14591;14583;14633;14510;22.56M
02/07/2024;14554;14476;14562;14393;25.21M
02/06/2024;14410;14465;14536;14319;29.13M
02/05/2024;14368;14282;14547;14278;38.51M
02/02/2024;14238;13926;14262;13650;62.50M
02/01/2024;14116;14212;14306;14079;40.47M
01/31/2024;14010;14362;14400;13987;71.91M
01/30/2024;15146;15280;15362;15118;36.33M
01/29/2024;15351;15206;15378;15143;27.78M
01/26/2024;15218;15110;15254;15101;26.12M
01/25/2024;15187;15007;15305;14954;29.15M
01/24/2024;14870;14854;14985;14810;25.23M
01/23/2024;14704;14589;14718;14550;21.64M
01/22/2024;14599;14710;14839;14584;32.20M
01/19/2024;14638;14474;14645;14438;34.27M
01/18/2024;14348;14205;14421;14199;25.75M
01/17/2024;14147;14135;14184;13890;20.97M
01/16/2024;14249;14200;14435;14145;22.67M
01/12/2024;14265;14267;14320;14182;18.79M
01/11/2024;14208;14349;14522;14063;24.01M
01/10/2024;14228;14100;14300;14091;21.32M
01/09/2024;14095;13850;14149;13815;24.76M
01/08/2024;13884;13629;13901;13626;21.40M
01/05/2024;13573;13674;13716;13515;22.51M
01/04/2024;13639;13842;13916;13635;27.14M
01/03/2024;13892;13725;13963;13708;24.21M
01/02/2024;13817;13855;13945;13648;23.71M
